fold,n_val_teknon,g_accuracy,g_balanced_accuracy,g_macro_f1,g_roc_auc,t_accuracy,t_balanced_accuracy,t_macro_f1,t_roc_auc
0,21,0.9634551495016611,0.9644795099703718,0.9633382053326247,0.9928759279603183,0.8095238095238095,0.7916666666666666,0.7980769230769231,0.8796296296296297
1,24,0.9617940199335548,0.9626873952750313,0.961664437854914,0.987205521710665,0.7083333333333334,0.65625,0.6606060606060606,0.7421875
2,27,0.9601328903654485,0.9608952805796909,0.959989809142971,0.9919493547277428,0.7407407407407407,0.7362637362637363,0.7349228611500701,0.7939560439560439
3,36,0.9584717607973422,0.9576863354037267,0.9582170768611447,0.9834904614019522,0.6666666666666666,0.7083333333333334,0.6625,0.7413194444444444
4,29,0.9334442595673876,0.9362129611077717,0.9333909651106087,0.9819898038691868,0.6551724137931034,0.6200980392156863,0.618421052631579,0.7254901960784313
