subset,n_leads,n_features,cv_bal_acc_mean,cv_bal_acc_std,cv_auc_mean,test_bal_acc,test_auc
12-lead (reference),12,120,0.9722261425915806,0.005222101308571458,0.9963656097881195,0.7222222222222223,0.7901234567901234
8-independent,8,80,0.9712485246060728,0.004865129823016533,0.9954254181311313,0.7777777777777778,0.7962962962962963
Precordial only (V1-V6),6,60,0.9617806565061005,0.003956918889791274,0.9925066946268677,0.7777777777777778,0.8148148148148148
Limb only,6,60,0.9595684886734892,0.003550927679963349,0.9953703447250802,0.6111111111111112,0.7345679012345679
V1-V4 (paper region),4,40,0.9506135114413375,0.00941464760801931,0.9896727438053295,0.6944444444444444,0.8179012345679012
D1 + D2 (smartwatch),2,20,0.9585137051301906,0.005662693630341628,0.9942772109705083,0.7222222222222222,0.7530864197530863
D1 alone,1,10,0.9388364584287492,0.013886511374834702,0.9892943088138038,0.5833333333333333,0.6882716049382716
