model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,fit_seconds
RandomForest,0.9720841786391452,0.0051707558456617845,0.9722261425915806,0.005222101308571458,0.9719538641147085,0.005193811377775027,0.9963656097881195,0.0009674832797969537,45.37309670448303
GradientBoosting,0.9700902703688759,0.0045449479207416935,0.9703149303076464,0.0048507276392208915,0.9699530601767308,0.0045817571221870934,0.9925725056760726,0.0012311794937387344,866.4086306095123
MLP,0.9667680112326632,0.0096799438674996,0.9669799540100975,0.00945373310709001,0.9666210858303035,0.009705849548070146,0.9932494997826892,0.0038067776686319488,3.734536647796631
LogReg,0.96111961791256,0.007561208200543616,0.9611295996708765,0.007508225653537994,0.9609328867177048,0.0075898851877578355,0.9776709301249596,0.0065682331164584554,2.0978314876556396
LinearSVM,0.9541406625723463,0.00927823353785812,0.953805381506457,0.009505066096388546,0.9538869955452665,0.009343913425106274,0.9786091640095915,0.006441830040996455,14.872475862503052
