config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_macro_precision_mean,g_macro_precision_std,g_macro_recall_mean,g_macro_recall_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_macro_precision_mean,t_macro_precision_std,t_macro_recall_mean,t_macro_recall_std,t_roc_auc_mean,t_roc_auc_std
XGBoost,0.6602886242836357,0.20026827575625952,0.645746030457562,0.20597515631251123,0.6125662064526324,0.22243945261094855,0.6282197154343665,0.21166894409480796,0.645746030457562,0.20597515631251123,0.7143488688574737,0.058463036616398366,0.7107563025210084,0.18487624139144782,0.6833734864169647,0.19672939522146676,0.6600485470108912,0.20907183618057168,0.689144385026738,0.19742166702604155,0.6833734864169647,0.19672939522146676,0.7445819204226227,0.0632893818657327
RandomForest,0.6260201324345992,0.21569153388544296,0.5885820922516121,0.24058127138783536,0.529332974021377,0.2703601398261696,0.5441127934095037,0.27182542350358435,0.5885820922516121,0.24058127138783536,0.7206651560016957,0.04446477059803623,0.6820168067226889,0.21572641410483862,0.6184865215299998,0.24532499250787004,0.5798518896089229,0.2780083762739579,0.6146053946053947,0.2926288644733479,0.6184865215299998,0.24532499250787004,0.7427273613505668,0.06003542485037365
ExtraTrees,0.6298969623184962,0.2088209153423161,0.5919566566464664,0.23945867809891141,0.5259172447712024,0.2682198736013736,0.5794604796760798,0.26116180321958543,0.5919566566464664,0.23945867809891141,0.7084718869099754,0.03257045009587594,0.6759663865546217,0.19956753610951566,0.5991917100612753,0.23994634806005094,0.5607194155728508,0.2681618960399179,0.6202258852258853,0.25699183782153984,0.5991917100612753,0.23994634806005094,0.7196093452272939,0.04574175662219249
LogisticRegression,0.6269519256465836,0.22881990040513012,0.5794029048949757,0.24939091050664355,0.5305543651547159,0.26972464961766385,0.5663869843625741,0.24782653743695576,0.5794029048949757,0.24939091050664355,0.7302590081201298,0.06077214792701126,0.6816806722689075,0.19149285852158934,0.5936943973900496,0.24927322994872017,0.57335036525488,0.25869864183002034,0.5909551656920079,0.24455799856876728,0.5936943973900496,0.24927322994872017,0.716819886486197,0.06308529884689401
MLP,0.6367051697003889,0.20981579612233991,0.6088793053694348,0.2273178676631281,0.5364076252827487,0.2643184996308437,0.6088593812381241,0.2733184178812015,0.6088793053694348,0.2273178676631281,0.7291395326263357,0.0499162043672342,0.6636974789915966,0.19306016300022616,0.5845091703787355,0.2339294920499442,0.5438926485857433,0.2585517612914084,0.6241310837649511,0.25127399371872716,0.5845091703787355,0.2339294920499442,0.7199329904467318,0.05050620430481691
SVM_OvR,0.6183068563114291,0.23242361073002454,0.5079690387023063,0.28636535384018386,0.4452130820019077,0.3188849472538065,0.41511272389234144,0.33599604260045474,0.5079690387023063,0.28636535384018386,0.7130810307279285,0.0650579742682526,0.6524369747899159,0.21266863897512212,0.5152004517221909,0.2817339760454345,0.4661894405943654,0.30472387125253303,0.44445763913505854,0.3160846287212681,0.5152004517221909,0.2817339760454345,0.7064199091562654,0.06408793442234104
