config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_macro_precision_mean,g_macro_precision_std,g_macro_recall_mean,g_macro_recall_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_macro_precision_mean,t_macro_precision_std,t_macro_recall_mean,t_macro_recall_std,t_roc_auc_mean,t_roc_auc_std
alpha=0.00,0.723091130445111,0.19514607668002804,0.602105488069353,0.24242525740143836,0.5991059431201272,0.2763291383541323,0.7513019751532706,0.19427618352918863,0.602105488069353,0.24242525740143836,0.7637949561037187,0.029377311376882133,0.7739495798319329,0.12843129618257246,0.6561081832820963,0.194815091132545,0.6709332270780044,0.18521018349865864,0.8119734093067427,0.12658574559187175,0.6561081832820963,0.194815091132545,0.7948400556630568,0.07101764160850794
alpha=0.05,0.6597297859072957,0.20792571096981186,0.5382371985488896,0.26302309306855026,0.49733216253076196,0.2974789315633157,0.5670357968870923,0.2598338373915033,0.5382371985488896,0.26302309306855026,0.7761586629350293,0.009883413618365807,0.7105882352941176,0.1723422676347089,0.5922398937616329,0.23871889582939906,0.5691594464886391,0.2543896021593041,0.6277072310405644,0.27155767676029385,0.5922398937616329,0.23871889582939906,0.8072033966224332,0.05704950499090716
alpha=0.20,0.659561718680405,0.20929116593710742,0.532802415940194,0.26624372447636374,0.4885400234529085,0.3004319225636784,0.5574468672981626,0.26323612596607737,0.532802415940194,0.26624372447636374,0.7719948453123497,0.013978713005240817,0.710420168067227,0.17404860575961748,0.5868051111529373,0.24377246939229702,0.5603673074107857,0.26088020954717994,0.6181183014516348,0.27744844934307195,0.5868051111529373,0.24377246939229702,0.8030396000246659,0.06080355431133869
alpha=0.50,0.659561718680405,0.20535369263319653,0.5242887074264855,0.2687554686961908,0.48491209079151004,0.29834310275088205,0.5851516656926162,0.24846503702987716,0.5242887074264855,0.2687554686961908,0.7654115823883874,0.012184670849103033,0.710420168067227,0.16929342605559808,0.5782914026392287,0.24883369140787903,0.5567393747493872,0.25972911267457416,0.6458230998460884,0.25537625971631367,0.5782914026392287,0.24883369140787903,0.7964560965526306,0.06477001250408734
alpha=0.35,0.6481331472518336,0.2090661071595193,0.5227369580486492,0.26945082466677434,0.4791361970056037,0.30047481639457485,0.5540077138590093,0.2560691038563535,0.5227369580486492,0.26945082466677434,0.7684751635043992,0.022029297060377432,0.6989915966386555,0.17790969828623093,0.5767396532613924,0.2500038950914801,0.5509634809634809,0.26414557957067697,0.6146791480124814,0.27161998436715,0.5767396532613924,0.2500038950914801,0.7995205877114595,0.06540857271677931
alpha=0.10,0.6481331472518336,0.2090661071595193,0.5203800556917468,0.27043024955183076,0.4686681465375533,0.30482606795257167,0.5175879607725895,0.28172483017922256,0.5203800556917468,0.27043024955183076,0.7662959237842096,0.010785741032166228,0.6989915966386555,0.17790969828623093,0.57438275090449,0.25169210996580216,0.5404954304954305,0.2725553754862236,0.5782593949260616,0.30512129805291816,0.57438275090449,0.25169210996580216,0.7973403126245915,0.06395169967905816
alpha=1.00,0.6481331472518336,0.21293494364255974,0.5145243976621756,0.2738321303465944,0.47161391536567504,0.3039262208388447,0.5466884898731186,0.2579605435091081,0.5145243976621756,0.2738321303465944,0.7769131986111946,0.00769567473411303,0.6989915966386555,0.1824404390630603,0.568527092874919,0.25688710992599206,0.5434411993235522,0.27057287794818474,0.6073599240265907,0.27542665358606,0.568527092874919,0.25688710992599206,0.807957294754029,0.05615862359347083
