config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_macro_precision_mean,g_macro_precision_std,g_macro_recall_mean,g_macro_recall_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_macro_precision_mean,t_macro_precision_std,t_macro_recall_mean,t_macro_recall_std,t_roc_auc_mean,t_roc_auc_std
V2_only,0.6256667755441399,0.21592197940793978,0.5880746172212478,0.24066033923334498,0.528981709718245,0.2704714177738635,0.5436371454337954,0.2719900869315866,0.5880746172212478,0.24066033923334498,0.7212328931407271,0.04575025218192243,0.6820168067226889,0.21572641410483862,0.6184865215299998,0.24532499250787004,0.5798518896089229,0.2780083762739579,0.6146053946053947,0.2926288644733479,0.6184865215299998,0.24532499250787004,0.7415532750988212,0.059132413058533256
V1_V2_V3_aVL,0.6691629301897437,0.19767004656231488,0.5789544697645473,0.23793669429806313,0.5522891301887614,0.2591564568333954,0.6353137110595185,0.21322410952845292,0.5789544697645473,0.23793669429806313,0.781920232960598,0.022403242024022142,0.7102521008403362,0.16480810581861846,0.5938320053537446,0.22745716724588436,0.58291095148238,0.2335770843112123,0.6717593517593518,0.20452407004156165,0.5938320053537446,0.22745716724588436,0.7982846289479646,0.04484369658759554
V2_V3_V4,0.6585859785610357,0.19531799006258205,0.542155844178321,0.2569527758468454,0.5040703399094334,0.279042046271914,0.5087435010072419,0.28646245354254846,0.542155844178321,0.2569527758468454,0.737970221395155,0.02318033989322577,0.6932773109243697,0.1891447119364623,0.5846184411401802,0.24792062303680837,0.5530385404248316,0.27640246735491625,0.5746038406038406,0.29966777996383037,0.5846184411401802,0.24792062303680837,0.7608184386888456,0.05422080320358194
precordial_V1_V6,0.6343456958755234,0.21383548073350173,0.529310571030633,0.2676566197181481,0.4790675039857374,0.30076401396598323,0.5435848229195559,0.2828998734625013,0.529310571030633,0.2676566197181481,0.7601489431446223,0.028968321294856388,0.6873949579831933,0.18467904164176732,0.5794471631428153,0.2444539420642134,0.5537232793046747,0.2659138703174981,0.6330299823633156,0.26493226928792185,0.5794471631428153,0.2444539420642134,0.7777934988604746,0.05859722155432085
all_12,0.6593497045461294,0.20955488348596557,0.5350100645657531,0.2652484096189275,0.49991832791881574,0.2955128898219138,0.5723813467611916,0.24509349708130668,0.5350100645657531,0.2652484096189275,0.7914300098964486,0.014320743401460929,0.7045378151260505,0.17473597260688103,0.5758286801765063,0.24228451310800997,0.5624987819525634,0.251127616059263,0.6412399945733278,0.23817097704767304,0.5758286801765063,0.24228451310800997,0.8116021687638137,0.050188848685032525
V1_V4,0.6517373875345192,0.20889057445896642,0.5487714621417437,0.2555446960903225,0.5130208833052883,0.2781529697367562,0.5458266836698213,0.27027023197827205,0.5487714621417437,0.2555446960903225,0.7414917914515715,0.02773483666105329,0.693109243697479,0.18263676939389117,0.5755058870276261,0.2406303212916721,0.5517793107581197,0.26038720713498337,0.6004755738089071,0.2681033575379291,0.5755058870276261,0.2406303212916721,0.7651851089755707,0.05787183721817997
V2_V3,0.6353558808682483,0.21473390893136313,0.5294013449714463,0.26672541039289027,0.4964102755499272,0.29014261134125335,0.5014419680382888,0.2986265377065471,0.5294013449714463,0.26672541039289027,0.7096711954838004,0.0496680251726391,0.6697478991596639,0.20809478374689716,0.555303866825606,0.2609342947916627,0.5293588579881114,0.2886338827507803,0.5563027226185122,0.3086168105314422,0.555303866825606,0.2609342947916627,0.7466214329390054,0.07844610586086102
limb_only,0.6137060902099356,0.2301151768612516,0.4637335170694887,0.3044465965967056,0.41422082840554725,0.3365034095928102,0.4976580300011104,0.34701572040601214,0.4637335170694887,0.3044465965967056,0.6801364395813546,0.1378247528903983,0.6705882352941177,0.21442160792349135,0.516261057782797,0.29998790069738446,0.49306681887544423,0.3246835250721678,0.5170253959501271,0.3623385220120587,0.516261057782797,0.29998790069738446,0.7517875132011709,0.019323424086272804
