fold,val_accuracy,val_balanced_acc,val_macro_f1,val_roc_auc,tek_balanced_acc,tek_macro_f1,best_epoch_bal_acc,epochs_trained,n_val,n_tek_val
0,1.0,1.0,1.0,,,,1.0,11,1,0
1,0.6,0.5336700336700336,0.5372645372645373,0.6350182009411218,,,0.5336700336700336,13,35,0
2,0.5142857142857142,0.48364389233954447,0.4523125996810207,0.5966301883072069,,,0.48364389233954447,11,35,0
3,0.4734982332155477,0.3333333333333333,0.21422861710631494,0.47113137855559456,,,0.3333333333333333,11,2830,0
4,0.7058823529411765,0.5909090909090909,0.5753968253968255,0.7431089743589743,,,0.5909090909090909,24,34,0
