config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_roc_auc_mean,t_roc_auc_std
XGBoost,0.9724191684954754,0.006159368778598169,0.9725804066859391,0.0059312457968647035,0.9722912772803551,0.0061769296388697855,0.9948188002471479,0.0020019673823121393,0.7747947454844006,0.05284526763693197,0.7546591072326366,0.08207694562372422,0.7535796954761484,0.07600146851030157,0.7540205131197778,0.1206711175833181
RandomForest,0.9717536110911492,0.0045360799249328,0.9720591810701299,0.004180955595653655,0.9716321632258588,0.004535422690689013,0.9965414847073644,0.0011310275448856476,0.7563720124064952,0.04094167389398014,0.7358556884292178,0.06546293472452808,0.7354353719047226,0.061975083545425885,0.8221744894539013,0.07369126811325505
ExtraTrees,0.9720841786391452,0.004606301459020187,0.9724641878601297,0.004492158617794259,0.9719661362484657,0.0046151130999211795,0.997048741361164,0.001215995820941045,0.7445812807881774,0.02620221260348426,0.7176717481864541,0.050559857013597595,0.7187074592074592,0.046189224694671745,0.8190527813689579,0.07593993034997544
MLP,0.9657702279147159,0.008351188884760918,0.966044755344622,0.00845237134221247,0.9656183262272074,0.008394218264163412,0.9893676789876406,0.0060600074887842284,0.7350027367268746,0.05168752668205859,0.7062338396897221,0.04645449345282501,0.7090562487621311,0.044657141146691996,0.7027073382771912,0.10855514383410136
SVM,0.9528089949751521,0.010606407389455634,0.9521795854485097,0.010734297430731411,0.952523809977696,0.010673818871027049,0.9761951313952417,0.012273507805031846,0.6385376756066412,0.1312412207335599,0.6353039933922286,0.14778244824537407,0.6267293975907726,0.13865540693522377,0.6815760866312337,0.18370046731867068
