config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_roc_auc_mean,t_roc_auc_std
D_Sims_CARTO_Database,0.9717536110911492,0.004971423161272224,0.9721080064859782,0.004631887004596445,0.9716348607716693,0.004973327934758509,0.9964904447175391,0.00118016425100681,0.7637794198139025,0.040756607929602263,0.7429985455720749,0.06743726293406113,0.7424280724019814,0.0638470100800504,0.8211103779118485,0.0708910113163784
B_real_nonTeknon,0.542039568603822,0.01320207368597879,0.5702814331362328,0.012194091277442802,0.477461230270534,0.021856412847300766,0.7534325331471139,0.019051488982861027,0.7570333880678708,0.0302393768828692,0.7252697874021403,0.04752176753918761,0.7288614025828524,0.04472311069007848,0.8156041823780795,0.07560203609072043
E_realAll_Teknon,0.5310650576834843,0.022951602316011867,0.5593319979747515,0.02169998445299458,0.4642435932244201,0.034970854280955053,0.7620850250240103,0.022799269430112155,0.7276135741652984,0.0556661279214947,0.7007366408101702,0.05603847236253375,0.7036948892207513,0.05738602056545803,0.8212895254255548,0.031364950221356255
F_all,0.9720841786391452,0.0051707558456617845,0.9722261425915806,0.005222101308571458,0.9719538641147085,0.005193811377775027,0.9963944622532953,0.0009928663635604767,0.7165024630541872,0.0621752484883338,0.6971194246929541,0.0594973042480108,0.6972764480916654,0.0634033433698265,0.8105585930953578,0.04024493262049617
C_Teknon_only,0.5267345122470302,0.05440140635896838,0.5554575523524041,0.04910215831325983,0.44953451086819884,0.0961599303739652,0.8146026048765019,0.01918253427148778,0.7182995803685459,0.0981235908863686,0.6942132622279681,0.10232175573545459,0.6943150268606596,0.10881906603248798,0.797996458198664,0.04077211728730457
A_Sims_only,0.9122636137998132,0.017156090227349114,0.9069973055042247,0.018537542827304434,0.9104471004556938,0.017964483356126357,0.9913753141570597,0.0024366905074838545,0.5098157270571063,0.09202335057214071,0.5751306291747469,0.07590169693381611,0.4859860771273815,0.10292779776206587,0.6331446467475879,0.11947903939450143
