config,g_accuracy_mean,g_accuracy_std,g_balanced_accuracy_mean,g_balanced_accuracy_std,g_macro_f1_mean,g_macro_f1_std,g_roc_auc_mean,g_roc_auc_std,t_accuracy_mean,t_accuracy_std,t_balanced_accuracy_mean,t_balanced_accuracy_std,t_macro_f1_mean,t_macro_f1_std,t_roc_auc_mean,t_roc_auc_std,n_leads,n_features
all_12,0.9717536110911492,0.004971423161272224,0.9721080064859782,0.004631887004596445,0.9716348607716693,0.004973327934758509,0.9964904447175391,0.00118016425100681,0.7637794198139025,0.040756607929602263,0.7429985455720749,0.06743726293406113,0.7424280724019814,0.0638470100800504,0.8211103779118485,0.0708910113163784,12,120
V1_V4,0.9511511821382967,0.011037888970711748,0.9514475376282745,0.010773369672993012,0.9509516743942509,0.011048588904954165,0.9887575919494542,0.0031384013835330025,0.7255519065863894,0.04804337257819047,0.7026507397830927,0.053675663402699074,0.704233682983683,0.05555141722704949,0.7609642094017094,0.06060574541562291,4,40
V2_only,0.8999624103791577,0.023965432677221957,0.8986584958532514,0.024508367766389445,0.8992346825766797,0.02422800696080682,0.9599390801570499,0.01011276061704618,0.6959222769567598,0.091192794711805,0.7019805358040652,0.07931635943785649,0.6900802139037432,0.08936480856763347,0.7393717155665686,0.09881966621369268,1,10
V2_V3_V4,0.9438416592500871,0.01490249826079839,0.9441969576886142,0.0144965881566745,0.9436245618721208,0.01490771297838613,0.9842829013818072,0.003704652804278028,0.724115124977194,0.0607636785758045,0.698484073116426,0.07255293023061601,0.7005194443237922,0.07340649855729749,0.7680389650518327,0.05902301296791057,3,30
precordial_V1_V6,0.9611207234896435,0.008001342183142952,0.961567429732652,0.007678442283499473,0.9609680516318019,0.008012808215761336,0.9924805608988508,0.001741488867203622,0.7147053457398285,0.075176080949993,0.6947600193923723,0.0756155689453851,0.6957392668866386,0.07873945931881529,0.8014207044997488,0.0725051942960544,6,60
V2_V3,0.9185775645242424,0.013748426899448489,0.919433114108319,0.0137477205737465,0.918333363420399,0.013768939535895534,0.9714991912096647,0.006659699396036024,0.7098111658456486,0.051678587209601994,0.6843599619334914,0.06230603685363318,0.6837673600908895,0.06316878458314751,0.7392018452680217,0.0608242540005047,2,20
limb_only,0.9574596049773081,0.00987727545066891,0.9580545970018134,0.010192325375986949,0.9572962044604427,0.009936462500560567,0.9949032870080685,0.001041081019853544,0.6487593504834883,0.09280995891803344,0.6020595417654242,0.0754305290483273,0.5976074090225151,0.08683150734768842,0.6965321919366038,0.05901980023102448,6,60
